# task_id,arrival_time,scheduled_time,number_of_operations,id_machine,deadline,end_time,memory,power
3403,0,0,1.41835e+09,CPU3_351,17,1404.3,1909,98
13692,0,0,9.38052e+08,CPU3_350,17,928.764,1052,98
6855,0,16.1659,2.79394e+08,SW4_10,17,16.4154,546,5
3446,0,16.2279,1.40231e+09,SW4_25,17,17.48,363,5
27562,0,0,1.98309e+09,CPU3_349,17,1963.45,3072,98
6898,0,0,3.74337e+08,CPU3_348,17,370.631,1695,98
870,0,16.2424,2.03786e+09,SW4_16,17,18.062,987,5
27886,0,0,1.98484e+09,CPU3_347,17,1965.19,1125,98
881,0,16.2448,2.01861e+09,SW4_36,17,18.0471,757,5
879,0,0,6.79337e+08,CPU3_346,17,672.611,1226,98
28469,0,16.2575,1.04344e+09,SW4_23,17,17.1892,628,5
28471,0,16.2971,1.56061e+09,SW4_26,17,17.6906,718,5
28704,0,0,1.12584e+09,CPU3_345,17,1114.69,2585,98
28754,0,0,1.4215e+09,CPU3_344,17,1407.43,1915,98
28771,0,16.3116,1.13031e+09,SW4_38,17,17.3208,273,5
28932,0,0,9.46951e+08,CPU3_343,17,937.576,1764,98
29276,0,0,1.74028e+09,CPU3_342,17,1723.04,1287,98
14765,0,16.3333,5.28842e+08,SW4_33,17,16.8055,892,5
7390,0,16.3406,6.78637e+08,SW4_11,17,16.9466,190,5
7447,0,0,3.11743e+08,CPU3_341,17,308.656,2881,98
29814,0,0,3.00112e+06,CPU3_340,17,2.9714,1280,98
29882,0,0,2.01304e+09,CPU3_339,17,1993.11,1428,98
30018,0,0,7.88133e+08,CPU3_338,17,780.33,3104,98
30083,0,0,6.19171e+08,CPU3_337,17,613.041,2408,98
30124,0,0,1.08041e+09,CPU3_336,17,1069.71,1242,98
15514,0,16.3879,1.69024e+09,SW4_27,17,17.8971,374,5
31030,0,0,7.57389e+08,CPU3_335,17,749.89,3029,98
3918,0,0,2.44534e+08,CPU3_334,17,242.113,1854,98
31308,0,0,9.14351e+08,CPU3_333,17,905.298,2981,98
31310,0,16.4154,1.24539e+09,SW4_10,17,17.5273,180,5
32142,0,16.468,2.72759e+08,SW4_35,17,16.7116,979,5
16094,0,0,8.28314e+08,CPU3_332,17,820.113,3096,98
32346,0,0,1.16879e+09,CPU3_331,17,1157.21,2637,98
32369,0,0,1.17611e+09,CPU3_330,17,1164.47,2267,98
8121,0,0,6.51903e+08,CPU3_329,17,645.449,2905,98
32499,0,0,1.65012e+09,CPU3_328,17,1633.78,1640,98
32574,0,0,5.12387e+08,CPU3_327,17,507.314,2947,98
32634,0,0,1.67068e+09,CPU3_326,17,1654.14,2345,98
32972,0,0,1.07743e+09,CPU3_325,18,1066.76,1116,98
33043,0,0,1.58052e+09,CPU3_324,18,1564.87,1449,98
33078,0,16.4917,6.46639e+08,SW4_39,18,17.069,705,5
33385,0,16.5143,4.47511e+08,SW4_28,18,16.9139,581,5
33425,0,16.5181,6.15824e+08,SW4_15,18,17.068,621,5
33438,0,0,1.13739e+09,CPU3_323,18,1126.13,2951,98
33526,0,16.6514,8.93486e+08,SW4_17,18,17.4492,975,5
33662,0,0,1.08355e+09,CPU3_322,18,1072.82,2668,98
33812,0,0,8.7868e+08,CPU3_321,18,869.98,1209,98
34013,0,0,9.57499e+08,CPU3_320,18,948.019,2757,98
17248,0,0,2.09272e+09,CPU3_319,18,2072,1346,98
34946,0,0,7.45771e+08,CPU3_318,18,738.387,1667,98
17491,0,0,1.00982e+08,CPU3_317,18,99.982,3029,98
35042,0,0,3.20545e+08,CPU3_316,18,317.371,3036,98
35270,0,16.7116,2.02052e+09,SW4_35,18,18.5156,831,5
